Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201800000001;3;41;;C;2;2;;;0;1;3;;;1;0;1;0
201800000002;4;41;;D;2;2;;;0;1;2;;;1;0;1;0
201800000003;3;39;;D;2;2;;;0;1;1;;;1;0;1;0
201800000004;3;39;;;2;2;;;0;1;1;;;1;0;1;0
201800000005;4;;;;1;1;;;0;1;1;;;1;0;1;0
201800000006;3;39;;D;0;2;;;0;2;2;;;2;0;3;0
201800000007;3;41;;D;2;2;16;500;0;1;1;;;1;0;3;0
201800000008;4;-;;;2;2;;;0;1;1;;;1;0;1;0
201800000009;3;141;;D;2;2;;;0;1;1;;;1;0;3;0
201800000010;3;641;;;2;2;1;670;2;1;1;;;1;0;1;0
201800000011;3;641;;;2;2;;;1;1;1;;;1;0;1;0
201800000012;2;41;;;3;4;36;1;3;1;1;;;1;0;1;0
201800000013;3;22;;C;2;2;;;0;1;2;;;1;0;1;0
201800000014;3;947;;;2;2;;;0;1;1;;;1;0;1;0
201800000015;3;22;;;2;2;;;0;1;1;;;2;0;3;0
201800000016;3;917;;;2;2;;;2;1;1;;;1;6;1;0
201800000017;4;;;;2;2;;;0;1;1;;;2;0;4;0
201800000018;3;917;;;2;2;23;785;0;1;1;;;1;0;1;0
201800000019;3;145;;;2;2;;;0;1;1;;;1;0;1;0
201800000020;4;;;;2;2;;;0;1;2;;;1;0;1;0
201800000021;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000022;3;917;;;2;2;;;0;1;1;;;1;0;1;0
201800000023;3;917;;;2;2;;;0;1;1;;;1;0;1;0
201800000024;4;;;;2;2;;;0;1;1;;;2;6;1;0
201800000025;3;54;;;2;2;2;480;0;1;1;;;2;0;4;0
201800000026;3;954;;;2;2;;;0;1;3;;;1;0;1;0
201800000027;3;238;;;;;;;;;;;;;;;
201800000028;3;106;;;2;2;;;0;1;1;;;1;0;3;0
201800000029;3;642;;;2;2;19;900;0;1;1;;;1;0;3;0
201800000030;3;10;;;2;2;8;500;0;1;1;;;1;0;1;0
201800000031;3;642;;;3;2;0;600;0;2;1;;;1;0;3;0
201800000032;3;933;;;2;2;30;790;1;1;1;;;1;0;1;0
201800000033;3;18;;;;;;;;;;;;;;;
201800000034;3;947;;;2;2;;;0;1;1;;;1;0;1;0
201800000035;3;10;;;2;2;13;400;0;1;1;;;2;0;3;0
201800000036;3;166;;;2;2;;;0;1;3;;;1;0;1;0
201800000037;3;122;;;2;2;26;900;0;1;1;;;1;0;1;0
201800000038;3;322;;D;2;2;1;481;0;1;1;;;1;5;1;0
201800000039;3;945;;;2;2;;;0;1;1;;;1;0;1;0
201800000040;3;122;;;2;2;26;0;0;1;1;;;1;0;1;0
201800000041;9;;;;;;;;;1;1;;;1;0;1;0
201800000042;3;69;;;2;2;20;;0;1;1;;;1;0;3;0
201800000043;3;916;;;2;2;0;50;0;2;1;;;1;2;1;0
201800000044;3;23;;C;2;2;2;250;0;1;1;;;1;0;1;0
201800000045;3;122;;;2;2;13;875;0;1;3;;;1;0;3;0
201800000046;3;122;;D;2;2;13;100;0;1;2;;;2;0;3;0
201800000047;3;90;;;2;2;;;0;1;1;;;2;0;1;0
201800000048;3;90;;D;2;2;;;0;1;1;;;1;0;1;0
201800000049;3;955;;;2;2;;;0;1;2;;;1;0;1;0
201800000050;3;955;;;2;2;;;0;1;3;;;2;0;1;0
201800000051;3;955;;;2;1;60;150;0;1;1;;;1;0;1;0
201800000052;3;90;;;;;;;;;;;;;;;
201800000053;3;94;;;2;2;;;1;1;3;;;2;0;1;0
201800000054;3;955;;D;2;2;;;0;3;1;;;1;0;1;0
201800000055;3;145;;D;2;2;;;0;1;1;;;1;5;1;0
201800000056;3;36;;D;2;2;3;670;0;1;1;;;1;0;1;0
201800000057;3;36;;A;2;2;0;936;0;1;1;;;1;0;3;0
201800000058;3;57;;;2;2;5;80;0;1;1;;;1;0;1;0
201800000059;3;257;;;2;2;1;800;2;1;1;;;1;0;1;0
201800000060;3;36;;;;;;;;;;;;;;;
201800000061;9;0;;;2;2;;;0;1;1;;;2;0;1;0
201800000062;3;40;;A;2;2;;;0;1;3;;;2;0;4;0
201800000063;3;45;;;2;2;2;200;0;1;1;;;2;0;3;0
201800000064;3;49;;D;2;2;;;0;1;1;;;1;0;1;0
201800000065;3;81;;;2;2;;;0;1;4;;;1;0;3;0
201800000066;3;630;;D;2;2;;;0;1;1;;;1;0;4;0
201800000067;3;148;;;2;2;5;;0;1;1;;;1;0;1;0
201800000068;4;;;;2;2;3;;0;1;1;;;1;0;1;0
201800000069;3;962;;;2;2;8;409;0;4;1;;;1;0;3;0
201800000070;3;424;;;2;2;1;230;0;2;4;;53;2;0;1;0
201800000071;3;104;;;2;2;5;280;0;1;1;;;2;0;1;0
201800000072;3;962;;;2;2;6;334;0;3;1;;;5;0;3;0
201800000073;2;2;;;2;2;7;200;0;1;1;;;1;0;3;0
201800000074;3;116;;;2;2;14;989;0;1;1;;48;1;0;3;0
201800000075;2;2;;;2;2;3;582;0;1;1;;;1;0;1;0
201800000076;2;2;;;2;2;5;400;0;2;1;;;1;0;3;0
201800000077;4;;;;2;2;;;0;1;1;;;1;5;1;0
201800000078;4;;;;2;2;1;;0;1;1;;;1;0;1;0
201800000079;3;124;;;2;2;;;0;1;1;;;1;0;1;0
201800000080;3;424;;;2;2;;;0;4;3;;;1;0;1;0
201800000081;3;951;;;2;2;33;500;1;1;1;;;1;0;1;0
201800000082;3;424;;;2;2;3;200;0;1;1;;;2;5;1;0
201800000083;2;2;;;2;2;17;571;0;4;1;;;1;0;1;0
201800000084;3;20;;D;2;2;5;216;0;1;1;;;1;0;1;0
