Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
201800000001;0;7;0;0;2;3;1;B01
201800000001;0;7;0;0;2;2;15;A01
201800000002;0;7;0;0;1;0;1;A01
201800000003;0;33;0;1;2;1;1;A01
201800000003;0;7;0;0;2;8;15;B01
201800000003;0;7;0;0;0;7;24;C01
201800000004;0;1;0;0;2;8;0;B01
201800000004;0;7;0;0;9;2;21;A01
201800000005;0;2;0;0;2;2;17;A01
201800000005;0;7;0;0;2;3;20;B01
201800000006;0;7;0;6;1;2;1;A01
201800000007;0;7;0;8;0;8;0;A01
201800000008;0;7;0;0;1;2;1;A01
201800000009;1;33;0;16;0;3;1;A01
201800000010;0;33;0;0;2;1;17;A01
201800000010;0;7;0;6;0;8;15;B01
201800000011;0;7;0;0;9;3;15;A01
201800000011;0;30;0;0;2;1;0;B01
201800000012;1;7;0;8;0;0;0;A01
201800000013;0;33;0;0;2;8;5;A01
201800000013;0;7;0;0;2;3;1;B01
201800000014;0;7;0;0;1;2;1;A01
201800000015;0;7;0;13;0;3;1;A01
201800000016;0;7;0;0;1;7;1;A01
201800000017;1;7;0;9;0;3;0;A01
201800000018;2;2;0;0;2;1;1;A01
201800000018;2;7;0;0;2;4;23;B01
201800000019;0;33;0;0;2;2;17;B01
201800000019;0;7;0;0;0;6;15;A01
201800000020;2;7;0;12;2;3;2;A01
201800000020;2;1;0;12;0;7;1;B01
201800000021;0;7;0;0;2;1;15;A01
201800000021;0;32;0;0;2;7;21;B01
201800000022;0;7;0;0;1;3;1;A01
201800000023;0;7;0;0;2;1;17;B01
201800000023;0;7;0;0;2;6;15;A01
201800000024;2;7;0;0;1;3;1;A01
201800000025;0;7;0;1;0;3;1;A01
201800000026;0;7;0;0;2;9;1;A01
201800000026;0;7;0;0;2;2;1;B01
201800000027;2;7;0;0;2;1;1;A01
201800000027;2;7;0;0;2;4;1;B01
201800000027;1;13;0;0;2;3;1;C01
201800000028;0;33;0;9;0;1;1;A01
201800000029;0;7;0;13;0;3;13;A01
201800000030;2;7;0;0;1;2;2;A01
201800000031;2;7;0;3;0;9;1;A01
201800000032;2;7;0;0;1;1;1;A01
201800000033;1;10;0;0;2;5;15;B01
201800000033;1;10;0;0;2;6;1;C01
201800000033;2;33;0;0;2;1;17;A01
201800000034;0;7;0;0;2;1;1;B01
201800000034;0;7;0;0;2;1;0;A01
201800000035;2;10;0;13;0;1;1;A01
201800000036;0;7;0;0;0;8;0;A01
201800000036;0;33;0;0;2;2;1;B01
201800000037;2;7;0;0;2;1;17;A01
201800000037;1;7;0;0;2;1;1;B01
201800000038;1;7;0;0;2;8;15;B01
201800000038;2;15;0;0;2;3;1;A01
201800000039;0;21;0;0;0;8;1;B01
201800000039;0;33;0;0;2;1;17;A01
201800000040;1;7;0;0;0;4;23;B01
201800000040;1;2;0;14;0;1;1;A01
201800000040;2;7;0;0;9;8;1;C01
201800000041;0;7;0;0;2;3;1;B01
201800000041;0;7;0;0;2;3;13;A01
201800000042;0;34;0;13;0;1;2;A01
201800000043;2;15;0;10;2;3;1;B01
201800000043;0;15;0;10;2;2;13;A01
201800000044;1;7;0;0;9;2;17;B01
201800000044;1;1;0;0;0;8;2;A01
201800000045;2;7;0;10;0;1;0;A01
201800000046;1;7;0;13;0;3;0;A01
201800000047;0;7;0;0;1;3;1;A01
201800000048;0;7;0;0;2;2;5;A01
201800000048;0;7;0;0;2;7;5;B01
201800000049;0;7;0;0;1;2;1;A01
201800000050;0;13;0;0;2;1;1;B01
201800000050;0;7;0;0;2;1;5;A01
201800000051;0;7;0;0;9;1;0;A01
201800000051;1;1;0;0;0;4;2;B01
201800000052;0;2;0;0;2;1;17;A01
201800000052;0;7;0;0;0;3;15;B01
201800000053;0;7;0;0;2;8;9;A01
201800000053;0;33;0;0;2;2;1;B01
201800000054;0;33;0;0;0;8;15;B01
201800000054;0;7;0;0;0;1;19;A01
201800000055;0;2;0;14;2;1;17;A01
201800000055;0;7;0;0;0;6;23;B01
201800000056;2;7;0;0;9;2;2;A01
201800000056;2;1;0;0;2;6;2;B01
201800000057;2;7;0;13;0;2;19;A01
201800000058;2;7;0;0;2;8;17;A01
201800000058;2;7;0;0;2;1;17;B01
201800000059;2;7;0;0;2;8;19;A01
201800000059;1;7;0;0;2;1;1;B01
201800000060;1;7;0;0;1;3;1;A01
201800000061;2;7;0;1;2;1;17;A01
201800000061;0;7;0;0;2;5;17;B01
201800000061;1;7;0;0;2;1;1;D01
201800000062;0;7;0;6;0;1;13;A01
201800000063;1;7;0;13;0;9;1;A01
201800000064;0;7;0;0;2;1;1;A01
201800000064;0;7;0;0;2;1;1;B01
201800000065;0;33;0;0;0;0;2;B01
201800000065;0;31;0;0;0;0;2;A01
201800000066;0;33;0;0;0;8;1;A01
201800000067;0;7;0;0;0;9;0;A01
201800000068;1;7;0;2;0;1;1;A01
201800000069;1;7;0;2;0;1;13;A01
201800000070;0;7;0;0;0;3;1;B01
201800000070;0;7;0;0;2;1;1;A01
201800000071;0;7;0;9;2;6;1;A01
201800000072;0;7;0;0;0;1;13;A01
201800000073;2;15;0;6;0;1;13;A01
201800000074;0;33;0;13;0;1;1;A01
201800000075;2;7;0;9;2;2;15;A01
201800000075;1;7;0;0;2;1;1;B01
201800000076;0;7;0;13;0;0;1;A01
201800000077;0;7;0;0;2;3;1;A01
201800000077;0;2;0;0;0;3;1;B01
201800000078;0;34;0;2;2;9;2;B01
201800000078;0;7;0;0;2;7;2;A01
201800000079;0;10;0;0;0;6;15;A01
201800000079;0;31;0;0;2;1;2;B01
201800000080;0;7;0;0;2;7;2;A01
201800000080;0;1;0;0;2;8;2;B01
201800000081;1;7;0;0;2;1;17;A01
201800000081;2;7;0;0;2;1;1;B01
